0,1088,2088,3088
2,1052,2052,3052
5,1033,2033,3033
12,1029,2029,3029
20,1018,2018,3018
21,1097,2097,3097
22,1014,2014,3014
25,1071,2071,3071
26,1043,2043,3043
26,1065,2065,3065
30,1093,2093,3093
31,1054,2054,3054
33,1067,2067,3067
34,1035,2035,3035
36,1077,2077,3077
37,1042,2042,3042
37,1069,2069,3069
37,1092,2092,3092
39,1068,2068,3068
40,1008,2008,3008
40,1062,2062,3062
41,1027,2027,3027
41,1057,2057,3057
46,1041,2041,3041
47,1038,2038,3038
48,1050,2050,3050
51,1025,2025,3025
53,1089,2089,3089
54,1061,2061,3061
56,1096,2096,3096
57,1004,2004,3004
57,1026,2026,3026
57,1074,2074,3074
61,1019,2019,3019
62,1021,2021,3021
63,1070,2070,3070
66,1080,2080,3080
67,1022,2022,3022
70,1037,2037,3037
71,1078,2078,3078
72,1099,2099,3099
77,1013,2013,3013
79,1058,2058,3058
82,1034,2034,3034
83,1003,2003,3003
92,1051,2051,3051
94,1009,2009,3009
95,1081,2081,3081
99,1079,2079,3079
101,1049,2049,3049
102,1056,2056,3056
103,1012,2012,3012
103,1091,2091,3091
104,1083,2083,3083
110,1024,2024,3024
110,1086,2086,3086
113,1006,2006,3006
114,1053,2053,3053
114,1100,2100,3100
115,1039,2039,3039
115,1073,2073,3073
118,1002,2002,3002
120,1059,2059,3059
121,1023,2023,3023
133,1055,2055,3055
135,1098,2098,3098
137,1031,2031,3031
137,1090,2090,3090
140,1015,2015,3015
144,1087,2087,3087
147,1063,2063,3063
148,1011,2011,3011
150,1095,2095,3095
151,1047,2047,3047
152,1028,2028,3028
152,1044,2044,3044
153,1045,2045,3045
157,1001,2001,3001
157,1016,2016,3016
159,1010,2010,3010
160,1020,2020,3020
162,1048,2048,3048
162,1075,2075,3075
165,1007,2007,3007
166,1005,2005,3005
168,1066,2066,3066
171,1060,2060,3060
171,1064,2064,3064
176,1040,2040,3040
178,1046,2046,3046
180,1030,2030,3030
180,1036,2036,3036
183,1072,2072,3072
185,1084,2084,3084
186,1032,2032,3032
186,1082,2082,3082
187,1017,2017,3017
189,1094,2094,3094
200,1076,2076,3076
200,1085,2085,3085
